,Ticker,Price,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Gross Profit,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash Per Share,Current Ratio,Book Value Per Share,Cash Flow,Beta,Class
3426,mmm,65.0839,0.272,22.4,3.3,7.46,15.25,22.88,16.46,34.35,25.125,17.93,1.81,3.27,14.31,8950000000.0,3.75,21.7,11.6,3.54,1.436,11.17,4220000000.0,0.552,4
3427,mmm,67.6164,0.272,23.03,3.28,6.33,15.25,22.88,16.46,34.35,25.125,18.4,1.86,3.34,11.99,10050000000.0,3.75,24.4,9.8,3.57,1.436,13.417,4280000000.0,0.536,4
3428,mmm,64.5817,0.24,18.69,2.82,5.55,15.41,24.33,15.5,31.6,28.394,15.87411764705882,1.66,2.89,9.981,10790000000.0,4.31,16.6,8.3,1.719,1.452,14.576,3910000000.0,1.04,4
3429,mmm,56.8328,0.24,16.38,2.49,4.89,15.41,24.33,15.5,31.6,28.394,15.87411764705882,1.5,2.55,8.812,10790000000.0,4.31,16.6,8.3,1.719,1.452,14.576,3910000000.0,1.06,4
3430,mmm,57.1858,0.235,15.8,2.44,4.66,15.71,23.58,15.61,32.28,29.035,15.87411764705882,1.45,2.51,8.916,10790000000.0,4.5,17.0,7.4,1.654,1.493,15.297,3550000000.0,1.04,4
3431,mmm,57.8181,0.235,15.91,2.43,4.64,15.71,23.58,15.61,32.28,29.035,15.87411764705882,1.42,2.5,8.883,10790000000.0,4.5,17.0,7.4,1.654,1.493,15.297,3550000000.0,1.04,4
3432,mmm,64.7938,0.346,17.5,2.65,5.42,15.62,23.42,15.01,33.39,29.83,15.87411764705882,1.62,2.77,9.926,10790000000.0,4.6,6.4,8.8,1.533,1.211,14.915,3740000000.0,0.83,4
3433,mmm,63.787,0.346,16.99,2.61,5.33,15.62,23.42,15.01,33.39,29.83,15.87411764705882,1.6,2.73,9.77,10790000000.0,4.6,6.4,8.8,1.533,1.211,14.915,3740000000.0,0.83,4
3434,mmm,64.3472,0.346,17.16,2.58,5.29,15.62,23.42,15.01,33.39,29.83,15.87411764705882,1.58,2.7,9.686,10790000000.0,4.6,6.4,8.8,1.533,1.211,14.915,3740000000.0,0.83,4
3435,mmm,63.6165,0.346,17.06,2.57,5.25,15.62,23.42,15.01,33.39,29.83,15.87411764705882,1.58,2.69,9.623,10790000000.0,4.6,6.4,8.8,1.533,1.211,14.915,3740000000.0,0.83,4
3436,mmm,63.4622,0.346,16.93,2.56,5.24,15.62,23.42,15.01,33.39,29.83,15.87411764705882,1.56,2.67,9.578,10790000000.0,4.6,6.4,8.8,1.533,1.211,14.915,3740000000.0,0.69,4
